actual,predicted
70,4.1056594849
500,528.4126586914
55,82.3888473511
115,95.6843948364
750,821.6444702148
300,252.9827880859
1250,1358.2686767578
1000,1154.3145751953
225,167.2039337158
1375,1448.5167236328
260,191.002243042
100,194.8860931396
300,251.0629577637
180,320.0687866211
300,246.8093414307
325,378.9579162598
80,80.747428894
135,148.3040161133
70,22.7185134888
385,343.3824157715
1000,591.7888183594
745,817.3898925781
2000,2192.671875
150,343.0705871582
100,109.857460022
235,241.5325622559
185,189.7743530273
100,93.0189285278
400,419.1562194824
475,494.7762756348
1300,1185.0673828125
795,817.3898925781
100,215.7615661621
125,112.5160140991
1950,876.4014892578
195,202.5469055176
125,115.4895248413
60,102.2307510376
85,82.7854385376
500,532.2943115234
100,86.6150741577
60,65.9161758423
200,194.8464050293
125,187.0611419678
350,413.0974121094
1000,1279.3477783203
100,290.3892822266
120,105.3750839233
340,367.2611694336
95,195.8969268799
1300,1231.2452392578
1250,1223.0598144531
790,547.903137207
60,43.2523880005
60,89.8976974487
260,253.7461242676
200,126.9881668091
335,357.8721618652
145,141.9582519531
150,141.9582519531
400,348.065032959
100,90.038734436
650,669.6826782227
395,405.5583496094
100,97.9702224731
85,71.9054031372
60,31.5837478638
500,482.5802001953
55,83.3477554321
700,689.7365112305
620,566.8782348633
75,69.0304794312
165,152.4535369873
525,547.1087036133
180,157.0737609863
1800,1926.5687255859
495,500.8949279785
120,105.3750839233
110,77.3767318726
600,623.9318237305
900,548.0501098633
165,163.1628112793
300,260.2654418945
800,746.9901733398
650,696.2515869141
180,192.7280273438
45,40.390083313
495,465.1267700195
520,350.9561462402
115,105.3083724976
350,281.3684997559
375,404.960723877
155,141.9582519531
300,348.0221862793
700,785.8751220703
250,276.1879577637
135,136.4571380615
400,360.9734191895
350,352.3178100586
70,74.2213973999
350,395.1583251953
130,134.9606628418
480,492.230255127
150,153.8355560303
185,166.3421936035
975,941.1434936523
350,360.4300537109
135,109.1162490845
500,449.6470336914
575,532.9779663086
225,278.4277954102
225,237.0929718018
175,126.3686599731
400,401.3081665039
7000,6987.3256835938
950,954.9741210938
855,803.8519287109
615,578.4645385742
60,-8.6044845581
75,69.9893875122
500,330.7783203125
800,500.11328125
1100,1099.8337402344
70,73.3460006714
300,264.9452514648
190,188.9503479004
350,845.3578491211
155,124.4030990601
150,136.7514038086
70,62.3769760132
75,69.6207962036
15,68.1945419312
205,192.956817627
150,131.651184082
180,175.5018005371
150,146.3367004395
120,21.9917678833
65,62.4024734497
500,414.1142883301
175,241.4548492432
500,518.5455932617
275,262.6096801758
90,80.8939743042
195,175.9788208008
200,189.5357055664
900,696.1559448242
15,67.3734970093
235,206.0778198242
400,351.5512695312
100,108.8985519409
125,180.1782836914
250,247.1472015381
995,698.733215332
95,82.5224838257
120,295.2038879395
500,516.8999633789
130,107.8813400269
85,72.6453018188
90,105.9305038452
150,379.9460754395
160,128.0644378662
200,197.9165649414
195,195.1457214355
1000,1175.9617919922
350,406.4248657227
800,798.2174072266
75,81.8054428101
115,334.3425598145
225,226.0245361328
90,77.1715774536
150,108.6373672485
240,250.4664916992
50,85.6374282837
75,80.909324646
145,138.7807769775
120,98.0472640991
125,135.3140411377
600,545.2212524414
65,113.5994491577
150,130.8606414795
250,288.3453063965
295,260.3824462891
400,351.2142028809
250,241.256362915
15,146.5193939209
15,164.8398590088
150,167.077041626
145,115.766960144
350,295.4836730957
95,87.1130752563
150,151.9547729492
70,74.0283432007
80,203.781036377
150,172.3531188965
90,86.2580947876
85,161.9487304688
115,317.9686889648
85,157.1360626221
130,112.4686813354
115,174.9322052002
200,213.6497192383
260,162.4876861572
225,236.9761657715
50,86.4228286743
150,160.9403991699
200,209.2107086182
375,365.2410583496
575,557.0286865234
350,404.960723877
1400,2039.8291015625
480,493.4230651855
500,506.4999389648
35,-5.4527816772
480,526.0461425781
300,199.1968688965
50,76.7866439819
120,101.8077011108
390,359.1514892578
60,110.9777297974
55,35.6444168091
635,522.5520019531
95,76.7866439819
110,94.2049026489
225,226.0245361328
50,75.8277359009
250,244.7211914062
70,70.5845565796
150,138.7807769775
250,244.7246246338
85,80.8939743042
90,77.1766586304
135,85.4774093628
50,33.5855789185
800,820.4680175781
220,171.7683105469
205,177.4429321289
1090,1245.7160644531
200,191.4792327881
35,108.6901168823
65,2.150459528
50,76.7866439819
520,514.291015625
60,44.2112808228
210,196.5242004395
1900,1832.54296875
575,557.0286865234
120,107.3033370972
685,609.5729980469
120,238.9200286865
240,294.866607666
200,193.4292907715
50,-14.0608444214
350,360.7147216797
350,395.1583251953
575,631.1041870117
180,201.0827941895
85,153.1941375732
105,90.6375198364
55,122.2242965698
250,275.3729553223
100,90.1685562134
200,206.6862030029
40,30.622718811
230,228.1143188477
500,910.1696166992
225,238.5142669678
140,170.1853179932
100,87.6437911987
110,95.5950546265
150,138.5113067627
55,122.2242965698
795,745.9952392578
80,58.9779586792
1095,1089.1926269531
455,454.158203125
200,222.0606689453
120,146.1787261963
80,63.391242981
90,80.6310348511
400,350.7092895508
60,35.8064346313
235,256.4312438965
70,66.8376693726
120,98.0472640991
835,846.313659668
120,115.6024093628
890,911.0104980469
60,89.7985916138
500,516.395324707
750,814.916015625
350,323.5325317383
60,93.4650802612
200,183.286819458
90,80.7440261841
35,32.0892105103
60,46.8146133423
30,86.7381820679
30,86.7381820679
125,138.6729431152
950,936.5859375
200,195.0466003418
200,231.9740142822
265,292.0126037598
155,141.9582519531
120,238.0874481201
135,132.6100921631
80,77.2791519165
120,101.2644577026
420,374.1855773926
80,80.846534729
115,114.1978683472
75,91.479850769
140,122.8698196411
30,65.0906448364
100,101.6315536499
65,101.5124435425
140,136.7636413574
90,84.456199646
500,532.2943115234
40,35.2481155396
285,310.4685058594
350,1138.3306884766
180,201.0827941895
350,326.043548584
450,313.1805725098
115,132.9139862061
105,90.6375198364
425,457.9407348633
250,244.5357818604
175,199.0354919434
950,959.8443603516
275,176.9153747559
100,88.602684021
150,155.1935882568
170,166.3421936035
150,149.4399261475
490,515.6967773438
200,183.9368133545
160,347.9621887207
235,213.9560394287
200,199.6640014648
500,465.5420837402
100,101.8757247925
70,74.2213973999
395,388.233001709
330,296.5843200684
130,123.7540359497
295,245.8504333496
50,40.6073379517
100,182.9846343994
2000,2054.1604003906
80,91.2669296265
130,153.8355560303
165,167.4002075195
695,817.3898925781
1650,1523.7835693359
275,267.8999328613
150,150.2960662842
150,136.0644683838
650,399.3480834961
450,479.3440551758
255,453.1520385742
1600,1688.4943847656
300,309.9262390137
45,32.4718399048
750,818.3487548828
1250,1289.9874267578
160,347.9621887207
380,384.7669372559
245,177.0144805908
175,210.3988189697
125,116.1300125122
125,126.3891220093
250,287.2557373047
150,112.2986984253
60,89.8976974487
175,164.7697906494
175,211.1347198486
250,239.2579650879
300,314.796661377
195,166.1400909424
550,639.8173828125
500,498.5576477051
165,166.6487426758
100,98.9481735229
115,98.1463851929
350,343.7367858887
300,317.1275024414
95,86.0942611694
100,197.7213745117
375,342.792175293
125,113.4275894165
500,520.5080566406
55,36.7024307251
190,199.1418151855
350,396.5368041992
75,84.5078659058
55,94.1057815552
75,62.4462356567
500,516.8999633789
300,299.5347900391
135,108.9231948853
600,525.4512939453
400,401.5063781738
750,789.6137084961
400,1221.0450439453
120,115.6024093628
495,535.6484375
85,77.1766586304
55,82.3888473511
50,88.6598434448
480,420.1790466309
200,223.8354187012
145,112.2986984253
300,322.1848144531
160,287.351348877
35,29.4544143677
490,504.3569946289
195,175.9788208008
350,383.054107666
710,621.498046875
150,129.9602966309
650,540.589050293
235,233.0372924805
70,86.9789199829
305,307.7102661133
450,437.4995727539
165,165.1978302002
100,58.417137146
375,363.8625793457
2000,1759.6340332031
1380,1398.9288330078
110,98.5817489624
65,31.9843521118
100,230.5295410156
370,322.5722351074
125,105.1169815063
300,314.0932617188
350,390.9656066895
300,291.0397338867
500,502.3557739258
200,198.2989959717
400,331.8265991211
155,143.2948455811
50,85.9678726196
120,105.3750839233
80,66.2066726685
135,138.8798828125
750,794.5361938477
300,272.4127197266
190,450.691986084
115,110.7296066284
600,635.8348388672
250,140.4880981445
150,146.9561767578
140,187.2918701172
200,208.9771881104
65,102.7779922485
65,100.6526412964
80,152.6253967285
75,77.1800460815
105,93.9428787231
120,145.256072998
195,365.9635009766
240,205.5659637451
45,73.6042098999
175,140.2624816895
400,465.2945556641
170,166.4412994385
1250,1358.3734130859
180,162.9973754883
130,135.2185668945
110,99.063331604
70,74.1274490356
75,65.5320205688
80,74.8573684692
190,117.151222229
290,189.8560638428
150,155.9313201904
900,915.1857299805
230,181.6418762207
975,1004.1252441406
485,517.7738037109
320,169.65965271
140,135.1194458008
125,130.0489196777
150,135.2185668945
140,119.2084884644
180,200.5940093994
90,94.8817367554
55,83.3477554321
550,626.1074829102
70,73.3460006714
700,804.0565795898
120,119.2961349487
445,451.342010498
50,114.3511886597
180,167.8063049316
145,168.9197540283
500,433.4589538574
590,559.0234375
400,399.8440551758
145,143.7903900146
60,55.6845474243
65,100.6526412964
400,404.4210510254
300,283.6407165527
2500,2665.3344726562
250,241.0105895996
80,188.9069824219
150,100.3820877075
95,89.5021591187
480,517.4227905273
295,292.971496582
65,101.5496139526
85,107.2126998901
545,420.7407226562
600,557.0286865234
150,342.3840637207
5000,630.0637817383
300,257.8752746582
400,410.1351623535
500,532.2943115234
410,382.0339660645
1200,993.1474609375
65,168.2496643066
205,173.3703613281
100,87.6437911987
2180,1939.3753662109
135,133.1962738037
75,67.0952377319
50,-5.2862167358
400,234.6053314209
500,510.9922485352
550,620.7177124023
1550,1631.0877685547
90,190.6107788086
700,790.0972290039
90,80.8939743042
250,232.6641540527
1200,1140.4847412109
60,43.1532669067
55,86.8160171509
95,84.7887191772
325,283.7203674316
50,37.0399551392
200,378.684753418
55,35.6444168091
200,207.2975769043
195,197.6145324707
230,404.5589294434
150,145.1743927002
575,572.2578125
40,73.5567550659
55,32.1900405884
775,713.0409545898
200,199.3870239258
500,520.788269043
100,90.9294815063
230,237.9333953857
500,434.5041809082
400,415.335357666
125,110.7927780151
450,439.7692871094
500,514.3521728516
1000,1136.0184326172
100,93.8437728882
400,244.0238189697
55,82.3888473511
150,191.0692901611
1000,998.4936523438
65,70.8458633423
750,461.7322998047
135,136.7636413574
650,619.1760253906
200,208.2518157959
900,940.9850463867
175,198.6609344482
120,124.101524353
250,274.9125976562
990,1056.3142089844
100,102.0191726685
900,855.6288452148
155,167.4240875244
90,72.6453018188
70,62.3113937378
300,346.8632202148
35,32.0892105103
400,389.303314209
225,224.6460571289
550,626.1074829102
700,669.5930175781
1200,1148.6593017578
40,35.2481155396
950,751.5258178711
300,313.4284667969
700,724.1345214844
100,85.0353164673
65,58.4344863892
1500,1528.6722412109
280,193.1214752197
200,194.256729126
2500,2089.3735351562
500,438.0433654785
400,398.1460876465
150,129.0233459473
550,626.1074829102
85,80.8939743042
475,319.4206542969
600,536.0375976562
500,463.6451721191
100,87.638633728
300,297.8724975586
115,130.4635009766
1000,953.9561157227
310,307.6989135742
2000,1821.5565185547
200,197.0435943604
195,183.3880157471
750,778.8095703125
250,259.0185852051
490,526.0461425781
85,83.7880477905
125,101.6115493774
150,142.4190063477
350,228.1258544922
675,757.0693359375
125,100.6526412964
550,633.7489013672
250,236.4376983643
700,725.4591064453
125,127.7240371704
275,237.5784606934
100,84.0764083862
230,198.3514862061
390,351.184753418
600,458.214050293
475,519.5823974609
900,917.9016113281
265,304.9047851562
1000,1173.3526611328
100,98.3578414917
900,921.9785766602
150,147.2286376953
135,123.3284072876
680,365.7920532227
400,389.8921203613
190,200.5940093994
150,332.6888122559
400,389.303314209
600,468.4166259766
1000,1139.1373291016
2000,1703.3703613281
350,291.0589904785
95,80.6310348511
85,84.4613418579
115,115.7015151978
275,271.7546691895
200,197.7111053467
50,92.3263168335
335,394.4199829102
50,36.0810623169
300,314.4133911133
600,564.132019043
160,187.4831695557
710,806.7360839844
170,166.4412994385
875,917.9016113281
95,87.2632522583
70,62.2122879028
115,100.1665115356
850,919.7974243164
350,330.2269592285
95,84.1984024048
400,394.6349487305
200,209.7595214844
200,221.5027770996
70,54.4483718872
190,166.4412994385
40,42.4677200317
150,142.1656951904
75,83.8731613159
245,243.9826049805
350,386.1454162598
135,143.6751556396
750,586.2458496094
260,248.4469909668
550,590.2915039062
575,637.4971313477
165,201.805557251
400,354.316192627
395,405.5583496094
1200,1146.3798828125
550,639.0086669922
30,-28.655632019
300,297.6029968262
55,48.0690383911
95,90.1276473999
500,469.5686035156
400,390.9656066895
1000,746.0899658203
400,850.7731933594
1200,1140.01953125
1000,1118.3450927734
50,75.8277359009
350,390.9656066895
160,175.8683013916
100,87.9195022583
190,210.3988189697
150,143.2948455811
275,270.7157897949
70,63.8386764526
80,164.1858520508
95,49.90599823
40,38.2751541138
200,195.6663818359
50,86.7322158813
300,307.9914855957
70,61.4444351196
295,287.9350891113
375,257.4044189453
180,358.4110412598
750,473.3140869141
70,62.2778701782
2500,3250.8684082031
460,469.2894592285
470,418.4608154297
200,197.7111053467
1100,1128.3380126953
125,165.1887969971
120,122.753578186
110,119.2961349487
60,89.7985916138
550,416.2593994141
65,50.5529403687
700,745.7623901367
950,1013.7520141602
160,154.131652832
250,265.9772949219
300,307.7102661133
90,97.1643753052
500,520.5900268555
200,166.3544311523
150,147.0072021484
300,266.7460632324
1000,991.415222168
1000,991.415222168
150,143.2948455811
500,520.788269043
160,121.0868148804
150,127.9704818726
300,304.2559204102
420,427.3391723633
500,512.4563598633
450,468.5305786133
1400,1319.4041748047
225,232.5261535645
565,638.6380004883
400,374.8240966797
350,308.1106872559
650,612.6362304688
165,202.7856750488
95,81.6195755005
775,781.5619506836
120,98.1463851929
250,254.7665100098
375,405.092590332
400,377.6695861816
450,380.4284973145
200,183.4542388916
100,61.9337081909
75,62.4323348999
295,308.4486083984
100,95.6093521118
275,313.9814453125
150,153.8355560303
100,93.9428787231
100,110.2437057495
200,208.2518157959
90,81.1222457886
65,57.4755935669
115,103.1270675659
175,155.1491241455
350,257.4052429199
150,131.651184082
400,390.2622070312
195,204.2939453125
65,2.150459528
200,197.7111053467
550,638.6380004883
50,113.7653121948
1000,994.7780761719
65,57.4755935669
140,120.1673965454
200,206.8547058105
125,109.8602218628
225,235.9805297852
165,460.164642334
60,46.8197555542
200,172.4114532471
120,121.4982070923
300,314.796661377
200,185.8283081055
120,107.2981948853
65,56.8576889038
50,35.7124710083
200,294.5628356934
75,148.9640655518
70,70.5706710815
140,172.0367889404
500,532.7188110352
120,246.8759002686
180,200.5940093994
600,693.6173095703
95,93.9154434204
115,97.7777938843
200,190.4807281494
70,62.4943771362
90,95.302696228
800,813.6174926758
30,63.2108688354
105,102.8598251343
425,361.1892700195
80,56.5283737183
900,754.7427978516
785,802.1607666016
90,95.0493850708
115,118.025428772
600,653.3645019531
125,141.0037841797
315,254.3612670898
85,94.7826309204
150,139.8549957275
400,394.3341064453
500,481.1842956543
120,203.6553955078
75,37.5306472778
125,112.4635391235
350,322.9133911133
900,784.3423461914
900,870.4031982422
160,141.9582519531
150,141.8591461182
100,98.3936843872
50,81.2909622192
120,101.6146469116
165,152.3544158936
75,78.1389541626
800,827.0044555664
240,735.7232666016
550,626.1074829102
150,156.6566467285
425,406.8065795898
400,428.0823669434
40,38.8103103638
375,354.3125915527
400,390.743927002
495,515.6967773438
150,131.6318206787
200,202.7991485596
190,166.4412994385
40,117.9063796997
145,144.3812713623
175,166.4412994385
500,373.2110595703
150,215.9963989258
1250,1259.3599853516
700,747.1602172852
75,69.9893875122
175,173.7400360107
175,152.5474853516
395,377.8299865723
150,118.4611740112
50,-25.1644821167
90,96.3002090454
750,790.8209838867
200,201.3015441895
435,445.086517334
325,370.8091125488
200,223.8354187012
250,262.0913085938
545,615.5405883789
595,545.6889038086
250,253.8018188477
40,81.9616928101
95,84.4053573608
125,153.8355560303
95,85.3136062622
150,150.1210327148
65,6.1546096802
450,359.8031921387
280,501.8754882812
150,141.8591461182
150,143.9766998291
1200,1145.1597900391
55,-5.8524398804
90,296.6295776367
60,44.7164993286
45,35.315284729
350,364.2821655273
400,405.5583496094
90,84.456199646
85,173.4471130371
215,195.3236541748
55,90.6375198364
600,550.5508422852
175,199.5059967041
325,362.8907775879
550,626.1074829102
55,43.2021560669
1000,992.1480712891
125,138.8798828125
110,97.7671127319
130,124.3532028198
40,11.2778701782
175,164.3969116211
70,71.4198684692
85,80.8939743042
500,422.1192016602
85,204.5731658936
630,696.2515869141
400,1051.6483154297
55,82.3888473511
250,253.4332427979
120,105.3750839233
250,246.31980896
170,166.4412994385
55,44.8917312622
275,699.9083251953
140,136.6645355225
150,251.7626495361
65,29.4644546509
150,142.9171600342
100,84.0764083862
545,562.6931762695
500,520.788269043
135,119.2084884644
345,382.9061889648
325,372.1875915527
400,390.8245239258
50,89.0955123901
50,-32.2918319702
400,390.8245239258
730,804.6716308594
200,173.8755645752
350,396.1682434082
130,115.036277771
150,157.4221496582
425,453.6177368164
60,44.2112808228
175,162.8739318848
155,139.3497924805
550,626.1074829102
205,141.3330383301
105,86.7141799927
125,138.4153289795
115,260.5489501953
2475,3113.5908203125
250,238.6740264893
1300,1185.4270019531
170,156.2806396484
80,113.9174575806
225,211.1719055176
100,87.2647476196
40,30.622718811
250,222.2016906738
150,155.3265075684
225,253.4789276123
50,37.0399551392
155,145.1405792236
275,293.9084472656
130,108.9013137817
150,126.0933914185
160,189.4873199463
165,149.8450622559
90,80.6449203491
235,239.1267852783
55,-2.191123724
240,168.6445617676
200,194.256729126
80,80.747428894
180,152.4535369873
100,137.5815124512
1000,962.9952392578
45,79.1917037964
115,126.6224594116
145,133.5276794434
300,334.7936401367
200,194.7613830566
100,62.5605697632
180,167.9054107666
110,85.8571090698
300,307.8923339844
1600,1430.630859375
250,253.8087615967
35,31.130317688
50,41.5442886353
250,252.5644378662
75,72.2953872681
600,535.8100585938
125,108.9013137817
95,80.027015686
75,62.4323348999
2000,2292.9763183594
165,204.9967651367
150,129.8663482666
550,640.1021728516
300,319.6086730957
75,64.3237991333
500,527.177734375
100,93.8437728882
100,182.9846343994
145,147.5440673828
1250,1183.8271484375
350,273.5646362305
50,150.5275421143
265,269.3640441895
90,80.6310348511
125,123.847984314
700,379.4046630859
100,186.6459655762
105,94.2049026489
250,259.9024047852
245,246.1098327637
125,100.6526412964
140,136.6645355225
200,176.9377288818
495,439.8738098145
40,32.9462966919
220,236.5684204102
180,192.4186096191
395,406.7479553223
105,102.5079574585
300,294.6158447266
90,78.96900177
135,122.7758712769
225,224.3368682861
135,134.155166626
195,170.9338684082
850,769.9421386719
55,82.3888473511
125,135.0597686768
2100,2057.1921386719
675,314.305480957
800,746.1039428711
250,255.0418548584
895,855.0653076172
300,318.2510375977
390,441.6210327148
100,241.4317016602
200,204.5067596436
185,201.1819000244
110,107.8215103149
175,206.4575958252
375,362.6105651855
95,57.3230667114
600,537.5520019531
250,259.6903686523
135,126.3380813599
190,186.6180725098
100,86.7366256714
80,17.6522293091
295,304.9687194824
400,368.2511901855
300,304.0577087402
200,198.356338501
350,293.3963928223
30,-26.7249069214
200,202.3342437744
260,244.7211914062
150,145.9296722412
150,162.9707641602
700,826.993347168
195,202.2449951172
300,257.070892334
85,90.716178894
120,98.1463851929
150,141.736328125
30,38.9888076782
400,399.5252990723
